"symboling","make","fuel.type","aspiration","num.of.doors","body.style","drive.wheels","engine.location","wheel.base","height","curb.weight","engine.type","num.of.cylinders","engine.size","fuel.system","bore","horsepower","peak.rpm","price","area","mpg","cluster","kmeans","hcpc","hc.complete","hc.avg","hc.ward.D2"
"3","alfa-romero","gas","std","two","convertible","rwd","front",88.6,48.8,2548,"dohc","four",130,"mpfi",3.47,111,5000,13495,10820.08,24,"1","1","2","1","1","1"
"3","alfa-romero","gas","std","two","convertible","rwd","front",88.6,48.8,2548,"dohc","four",130,"mpfi",3.47,111,5000,16500,10820.08,24,"1","1","2","1","1","1"
"1","alfa-romero","gas","std","two","hatchback","rwd","front",94.5,52.4,2823,"ohcv","six",152,"mpfi",2.68,154,5000,16500,11213.6,22.5,"1","1","2","2","2","1"
"2","audi","gas","std","four","sedan","fwd","front",99.8,54.3,2337,"ohc","four",109,"mpfi",3.19,102,5500,13950,11690.92,27,"1","1","2","1","2","1"
"2","audi","gas","std","four","sedan","4wd","front",99.4,54.3,2824,"ohc","five",136,"mpfi",3.19,115,5500,17450,11726.24,20,"1","1","2","2","1","1"
"2","audi","gas","std","two","sedan","fwd","front",99.8,53.1,2507,"ohc","five",136,"mpfi",3.19,110,5500,15250,11754.99,22,"1","1","2","2","1","1"
"1","audi","gas","std","four","sedan","fwd","front",105.8,55.7,2844,"ohc","five",136,"mpfi",3.19,110,5500,17710,13758.78,22,"3","3","3","2","1","2"
"1","audi","gas","std","four","wagon","fwd","front",105.8,55.7,2954,"ohc","five",136,"mpfi",3.19,110,5500,18920,13758.78,22,"3","3","3","2","1","2"
"1","audi","gas","turbo","four","sedan","fwd","front",105.8,55.9,3086,"ohc","five",131,"mpfi",3.13,140,5500,23875,13758.78,18.5,"3","3","3","2","1","2"
"0","audi","gas","turbo","two","hatchback","4wd","front",99.5,52,3053,"ohc","five",131,"mpfi",3.13,160,5500,18544.1471876761,12099.78,19,"1","1","2","2","1","2"
"2","bmw","gas","std","two","sedan","rwd","front",101.2,54.3,2395,"ohc","four",108,"mpfi",3.5,101,5800,16430,11456.64,26,"1","1","2","1","2","1"
"0","bmw","gas","std","four","sedan","rwd","front",101.2,54.3,2395,"ohc","four",108,"mpfi",3.5,101,5800,16925,11456.64,26,"1","1","2","1","2","1"
"0","bmw","gas","std","two","sedan","rwd","front",101.2,54.3,2710,"ohc","six",164,"mpfi",3.31,121,4250,20970,11456.64,24.5,"1","1","2","2","2","1"
"0","bmw","gas","std","four","sedan","rwd","front",101.2,54.3,2765,"ohc","six",164,"mpfi",3.31,121,4250,21105,11456.64,24.5,"1","1","2","2","2","1"
"1","bmw","gas","std","four","sedan","rwd","front",103.5,55.7,3055,"ohc","six",164,"mpfi",3.31,121,4250,24565,12644.1,22.5,"3","3","3","2","2","1"
"0","bmw","gas","std","four","sedan","rwd","front",103.5,55.7,3230,"ohc","six",209,"mpfi",3.62,182,5400,30760,12644.1,19,"3","3","3","2","1","2"
"0","bmw","gas","std","two","sedan","rwd","front",103.5,53.7,3380,"ohc","six",209,"mpfi",3.62,182,5400,41315,13159.02,19,"3","3","3","2","1","2"
"0","bmw","gas","std","four","sedan","rwd","front",110,56.3,3505,"ohc","six",209,"mpfi",3.62,182,5400,36880,13967.3,17.5,"3","3","3","2","1","2"
"2","chevrolet","gas","std","two","hatchback","fwd","front",88.4,53.2,1488,"l","three",61,"2bbl",2.91,48,5100,5151,8508.33,50,"2","2","1","1","3","1"
"1","chevrolet","gas","std","two","hatchback","fwd","front",94.5,52,1874,"ohc","four",90,"2bbl",3.03,70,5400,6295,9915.24,40.5,"2","2","1","1","2","1"
"0","chevrolet","gas","std","four","sedan","fwd","front",94.5,52,1909,"ohc","four",90,"2bbl",3.03,70,5400,6575,10099.68,40.5,"2","2","1","1","2","1"
"1","dodge","gas","std","two","hatchback","fwd","front",93.7,50.8,1876,"ohc","four",90,"2bbl",2.97,68,5500,5572,10035.74,39,"2","2","1","1","2","1"
"1","dodge","gas","std","two","hatchback","fwd","front",93.7,50.8,1876,"ohc","four",90,"2bbl",2.97,68,5500,6377,10035.74,34.5,"2","2","1","1","2","1"
"1","dodge","gas","turbo","two","hatchback","fwd","front",93.7,50.8,2128,"ohc","four",98,"mpfi",3.03,102,5500,7957,10035.74,27,"2","2","1","1","2","1"
"1","dodge","gas","std","four","hatchback","fwd","front",93.7,50.6,1967,"ohc","four",90,"2bbl",2.97,68,5500,6229,10035.74,34.5,"2","2","1","1","2","1"
"1","dodge","gas","std","four","sedan","fwd","front",93.7,50.6,1989,"ohc","four",90,"2bbl",2.97,68,5500,6692,10035.74,34.5,"2","2","1","1","2","1"
